pH,Temperature,Fat_Content,SNF,Titratable_Acidity,Protein_Content,Lactose_Content,TPC,SCC,Quality
6.5,34.5,3.5,8.3,0.13,3.1,4.8,5000,20,Moderate
6.7,35.2,3.8,8.7,0.14,3.3,5,3000,18,Moderate
6.3,36,3.2,8.1,0.16,2.9,4.6,7000,25,Low
6.8,34.8,4,9,0.12,3.5,5.2,2500,17,High
7,35.5,3.9,8.9,0.11,3.4,5.1,2000,16,High
6.1,36.2,3,7.8,0.18,2.8,4.4,8000,30,Low
6.4,35,3.3,8,0.17,3,4.7,6500,28,Moderate
6.6,34.9,3.6,8.5,0.14,3.2,4.9,4000,19,Moderate
7.1,36.5,4.2,9.2,0.1,3.6,5.3,1500,15,High
6.2,36.1,3.1,7.9,0.19,2.7,4.5,9000,32,Low
6.8,3.7,4.3,8.6,0.13,3.6,4.8,12,17,High
6.9,3.6,4.4,8.7,0.12,3.7,4.9,11,16,High
6.7,3.5,4.2,8.5,0.14,3.5,4.9,10,15,High
6.8,3.8,4.5,8.8,0.12,3.8,4.7,9,14,High
6.9,3.4,4.6,8.9,0.11,3.9,4.6,8,13,High
